🔄 IBKR LIVE SYNC STARTED
📊 Symbols: XAUUSD, AAPL, NVDA, TSLA, SPY
⏱️  Update interval: 60 seconds

⏰ 18:33:44 - Syncing IBKR prices... /Users/anubhavarya/star/star-dashboard/ibkr_sync.py:56: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  "updated_at": datetime.utcnow().isoformat()
/Users/anubhavarya/star/star-dashboard/ibkr_sync.py:78: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  "last_updated": datetime.utcnow().isoformat()
✅ Updated 10 positions | Gold: $4453.34
⏰ 18:34:46 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.66
⏰ 18:35:47 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.13
⏰ 18:36:49 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.36
⏰ 18:37:51 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.17
⏰ 18:38:52 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.51
⏰ 18:39:54 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.63
⏰ 18:40:55 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.59
⏰ 18:41:57 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.97
⏰ 18:42:59 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.45
⏰ 18:44:00 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.40
⏰ 18:45:02 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.36
⏰ 18:46:04 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.03
⏰ 18:47:05 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.47
⏰ 18:48:07 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.19
⏰ 18:49:09 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.26
⏰ 18:50:10 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.76
⏰ 18:51:12 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.38
⏰ 18:52:13 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.43
⏰ 18:53:15 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.45
⏰ 18:54:17 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.65
⏰ 18:55:18 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.55
⏰ 18:56:20 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.68
⏰ 18:57:22 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.28
⏰ 18:58:23 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.95
⏰ 18:59:25 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.51
⏰ 19:00:26 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.93
⏰ 19:01:28 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4455.83
⏰ 19:02:29 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.39
⏰ 19:03:31 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.63
⏰ 19:04:33 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.22
⏰ 19:05:34 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4460.65
⏰ 19:06:36 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4460.72
⏰ 19:07:38 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.83
⏰ 19:08:39 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.17
⏰ 19:09:41 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.88
⏰ 19:10:42 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4468.40
⏰ 19:11:44 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.51
⏰ 19:12:45 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4466.97
⏰ 19:13:47 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.14
⏰ 19:14:48 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.49
⏰ 19:15:50 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.47
⏰ 19:16:51 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.31
⏰ 19:17:53 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.73
⏰ 19:18:54 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.98
⏰ 19:19:56 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4465.18
⏰ 19:20:57 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.98
⏰ 19:21:59 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4463.50
⏰ 19:23:01 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.69
⏰ 19:24:02 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.91
⏰ 19:25:04 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.79
⏰ 19:26:06 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.57
⏰ 19:27:07 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.19
⏰ 19:28:09 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4458.87
⏰ 19:29:10 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.89
⏰ 19:30:12 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.64
⏰ 19:31:14 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4456.82
⏰ 19:32:15 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.11
⏰ 19:33:17 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.37
⏰ 19:34:18 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.52
⏰ 19:35:20 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4454.56
⏰ 19:36:22 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4461.79
⏰ 19:37:23 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4452.09
⏰ 19:38:25 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.73
⏰ 19:39:26 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4457.01
⏰ 19:40:28 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4451.70
⏰ 19:41:30 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.31
⏰ 19:42:31 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4459.04
⏰ 19:43:33 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4469.83
⏰ 19:44:34 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4467.90
⏰ 19:45:36 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.97
⏰ 19:46:38 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4462.24
⏰ 19:47:39 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.19
⏰ 19:48:41 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.21
⏰ 19:49:43 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4464.42
⏰ 19:50:45 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4453.53
⏰ 19:51:47 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4460.30
⏰ 19:52:48 - Syncing IBKR prices... ✅ Updated 10 positions | Gold: $4450.19
